base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,Bakanayatsu/runner-Qwen2.5-0.5B-v1,5,0.0001,2000,"[0.0, 0.0, 0.0, 0.0005, 0.0]"
Qwen/Qwen2.5-0.5B,alamios/Qwemma-3-0.5B,5,0.004,2000,"[0.002, 0.003, 0.0065, 0.006, 0.0025]"
Qwen/Qwen2.5-0.5B,flyyufelix/Qwen-2.5-7B-Simple-RL,5,0.0059,2000,"[0.005, 0.0055, 0.003, 0.0125, 0.0035]"
Qwen/Qwen2.5-0.5B,p1atdev/qwen2.5-0.5b-grpo-math-01,5,0.0082,2000,"[0.0075, 0.0035, 0.015, 0.005, 0.01]"
Qwen/Qwen2.5-0.5B,alamios/Qwenstral-Small-3.1-0.5B,5,0.0125,2000,"[0.0095, 0.012, 0.013, 0.0175, 0.0105]"
Qwen/Qwen2.5-0.5B,rdsm/QwenPhi-4-0.5b-Draft,5,0.0161,2000,"[0.016, 0.015, 0.0155, 0.0155, 0.0185]"
Qwen/Qwen2.5-0.5B,Vikhrmodels/salt-qwen2.5-0.5b-tts,5,0.0162,2000,"[0.0135, 0.0225, 0.01, 0.013, 0.022]"
Qwen/Qwen2.5-0.5B,jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,5,0.0186,2000,"[0.0115, 0.0265, 0.0125, 0.0305, 0.012]"
Qwen/Qwen2.5-0.5B,alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,5,0.0231,2000,"[0.0285, 0.022, 0.0255, 0.0105, 0.029]"
Qwen/Qwen2.5-0.5B,alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V3,5,0.0299,2000,"[0.0225, 0.035, 0.031, 0.03, 0.031]"
Qwen/Qwen2.5-0.5B,petkopetkov/Qwen2.5-0.5B-song-lyrics-generation,5,0.0389,2000,"[0.053, 0.036, 0.0345, 0.0245, 0.0465]"
Qwen/Qwen2.5-0.5B,tcapelle/toxicity-scorer-qwen-ct2,5,0.0392,2000,"[0.03, 0.0335, 0.069, 0.0245, 0.039]"
Qwen/Qwen2.5-0.5B,sail/Sailor2-1B-Pre,5,0.0424999999999999,2000,"[0.0255, 0.0405, 0.054, 0.077, 0.0155]"
Qwen/Qwen2.5-0.5B,sail/Sailor2-1B,5,0.0435,2000,"[0.037, 0.0495, 0.0415, 0.0755, 0.014]"
Qwen/Qwen2.5-0.5B,alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V4,5,0.0451,2000,"[0.0565, 0.0455, 0.0425, 0.024, 0.057]"
Qwen/Qwen2.5-0.5B,ytzfhqs/Qwen2.5-med-book-main-classification,5,0.0504,2000,"[0.068, 0.0545, 0.0445, 0.031, 0.054]"
Qwen/Qwen2.5-0.5B,shb2024/Qwen-0.5B-AMR,5,0.0718999999999999,2000,"[0.01, 0.036, 0.156, 0.14, 0.0175]"
Qwen/Qwen2.5-0.5B,tcapelle/toxicity-scorer-qwen,5,0.0723999999999999,2000,"[0.072, 0.0545, 0.1075, 0.066, 0.062]"
Qwen/Qwen2.5-0.5B,Aleksandr505/phishing-text-classifier-qwen-2.5-0.5B,5,0.0995,2000,"[0.1285, 0.109, 0.1435, 0.05, 0.0665]"
Qwen/Qwen2.5-0.5B,DiamondGotCat/Prism-0.2,5,0.132,2000,"[0.1135, 0.06, 0.2385, 0.215, 0.033]"
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-Coder-0.5B,5,0.1354,2000,"[0.1685, 0.139, 0.082, 0.147, 0.1405]"
Qwen/Qwen2.5-0.5B,JonhTheTrueKingoftheNorth/Qwen2.5-0.5b,5,0.1428,2000,"[0.124, 0.054, 0.2675, 0.1685, 0.1]"
Qwen/Qwen2.5-0.5B,EdBerg/outputs_qwen_100,5,0.1485,2000,"[0.115, 0.1165, 0.1205, 0.296, 0.0945]"
Qwen/Qwen2.5-0.5B,josang1204/Qweb2.5-FT-CSY,5,0.1558999999999999,2000,"[0.1345, 0.173, 0.175, 0.0785, 0.2185]"
Qwen/Qwen2.5-0.5B,JayHyeon/QWEN_toy-DPOP_5e-5-100ep_0alp_5lam,5,0.1572,2000,"[0.14, 0.18, 0.16, 0.141, 0.165]"
Qwen/Qwen2.5-0.5B,jhu-clsp/rank1-0.5b,5,0.1874,2000,"[0.112, 0.199, 0.3125, 0.1145, 0.199]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_c03f6a40-3b64-4f9b-b5f3-dd704171c333,5,0.2024,2000,"[0.2055, 0.1175, 0.235, 0.215, 0.239]"
Qwen/Qwen2.5-0.5B,robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,5,0.204,2000,"[0.183, 0.0535, 0.3385, 0.2755, 0.1695]"
Qwen/Qwen2.5-0.5B,minchyeom/bot3-0.5B,5,0.2509,2000,"[0.2265, 0.206, 0.3355, 0.2695, 0.217]"
Qwen/Qwen2.5-0.5B,EdBerg/outputs_qwen_232,5,0.2617,2000,"[0.301, 0.2285, 0.2965, 0.2145, 0.268]"
Qwen/Qwen2.5-0.5B,thundax/Qwen2.5-0.5B-Sign,5,0.2739,2000,"[0.215, 0.225, 0.3365, 0.4175, 0.1755]"
Qwen/Qwen2.5-0.5B,Silin1590/Qwen-0d5B-Int-Soc-CoA,5,0.2845,2000,"[0.2135, 0.2375, 0.344, 0.3625, 0.265]"
Qwen/Qwen2.5-0.5B,JayHyeon/Qwen2.5-0.5B_ultrainteract_sft_2e-5_1ep,5,0.2935999999999999,2000,"[0.1435, 0.236, 0.403, 0.3605, 0.325]"
