base_model_name,derived_model_name,base_model_downloads,derived_model_downloads,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
TinyLlama/TinyLlama-1.1B-Chat-v1.0,litert-community/TinyLlama-1.1B-Chat-v1.0,1391661,2067,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,1391661,1001,5,0.7348,2000,"[0.721, 0.672, 0.806, 0.784, 0.691]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,1391661,78,5,0.2323,2000,"[0.2015, 0.19, 0.0765, 0.461, 0.2325]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Edentns/DataVortexTL-1.1B-v0.1,1391661,66,5,0.5077,2000,"[0.545, 0.406, 0.449, 0.5775, 0.561]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ShieldX/manovyadh-1.1B-v1-chat,1391661,65,5,0.8051,2000,"[0.799, 0.7285, 0.8605, 0.8845, 0.753]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,frankenmerger/MiniLlama-1.8b-Chat-v0.1,1391661,42,5,0.5936,2000,"[0.529, 0.5005, 0.6275, 0.6695, 0.6415]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,h4rz3rk4s3/TinyParlaMintLlama-1.1B,1391661,39,5,0.3543,2000,"[0.355, 0.2525, 0.422, 0.4325, 0.3095]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,anudaw/distilled-code-llama,1391661,20,5,0.6005,2000,"[0.5955, 0.4995, 0.701, 0.596, 0.6105]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/phi-1_5_fictional,1391661,19,5,0.173,2000,"[0.1645, 0.066, 0.1755, 0.1895, 0.2695]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,1391661,15,5,0.1829,2000,"[0.1145, 0.126, 0.0955, 0.354, 0.2245]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,1391661,15,5,0.8371000000000001,2000,"[0.8165, 0.7875, 0.883, 0.8885, 0.81]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,1391661,13,5,0.859,2000,"[0.8825, 0.7665, 0.8355, 0.915, 0.8955]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,azam25/TinyLlama_instruct_generation,1391661,11,5,0.7489,2000,"[0.755, 0.6635, 0.689, 0.8525, 0.7845]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,adsazad/test_trainer,1391661,11,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,1391661,11,5,0.9935,2000,"[0.9935, 0.9905, 0.9955, 0.9955, 0.9925]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,1391661,11,5,0.8506,2000,"[0.8725, 0.772, 0.802, 0.9085, 0.898]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,AlexKoff88/TinyLlama-1.1B-Chat-v1.0-openvino-4bit,1391661,11,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/TinyLlama-1.1B_fictional,1391661,10,5,0.1216,2000,"[0.1815, 0.08, 0.0895, 0.193, 0.064]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,dhairyakhant/tinyllama-test,1391661,9,5,0.4801,2000,"[0.43, 0.412, 0.3885, 0.62, 0.55]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,1391661,9,5,0.9742,2000,"[0.9735, 0.9645, 0.976, 0.9815, 0.9755]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,h4rz3rk4s3/TinyNewsLlama-1.1B,1391661,8,5,0.5908,2000,"[0.526, 0.4305, 0.684, 0.643, 0.6705]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-8,1391661,7,5,0.0914,2000,"[0.105, 0.088, 0.075, 0.094, 0.095]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo-2,1391661,6,5,0.9521,2000,"[0.947, 0.9465, 0.953, 0.9635, 0.9505]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,jayeshvpatil/tinyllama-medqa-jp-v1,1391661,5,5,0.7412,2000,"[0.7845, 0.6595, 0.75, 0.788, 0.724]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,j2moreno/TinyLlama-1.1B-Chat-v1.0-leo-finetuned,1391661,5,5,0.8960000000000001,2000,"[0.8935, 0.8725, 0.911, 0.915, 0.888]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-group-dpo,1391661,5,5,0.9738,2000,"[0.972, 0.968, 0.98, 0.9815, 0.9675]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ainth89/tiny_llama_chat_with_tweets,1391661,5,5,0.7497,2000,"[0.756, 0.52, 0.79, 0.8385, 0.844]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,erichennings/TinyLlama-1.1B-Chat-v1.0-GGUF-Q4_K_M,1391661,5,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-1,1391661,4,5,0.0409,2000,"[0.039, 0.042, 0.0495, 0.0405, 0.0335]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,as-cle-bert/tinyllama-essay-scorer,1391661,4,5,0.6016,2000,"[0.61, 0.438, 0.6165, 0.698, 0.6455]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/TinyLlama2-jp-122M,1391661,3,5,0.0024,2000,"[0.004, 0.0065, 0.0, 0.0005, 0.001]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Bit-Llama2-jp-122M-test-1,1391661,3,5,0.0453,2000,"[0.043, 0.049, 0.0475, 0.042, 0.045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Bit-Llama2-jp-123M,1391661,3,5,0.1379,2000,"[0.1355, 0.0765, 0.15, 0.161, 0.1665]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Llama2-jp-123M,1391661,3,5,0.1009,2000,"[0.132, 0.001, 0.134, 0.168, 0.0695]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-5,1391661,3,5,0.0042,2000,"[0.001, 0.001, 0.007, 0.0035, 0.0085]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,anudaw/full_finetuned-code-tinyllama,1391661,3,5,0.5968,2000,"[0.5135, 0.43, 0.6625, 0.711, 0.667]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-logic-dpo,1391661,3,5,0.9995,2000,"[0.999, 1.0, 0.9995, 0.9995, 0.9995]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-dpo-2,1391661,3,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,newbie-geek/tinyllama-v1-training,1391661,2,5,0.5452999999999999,2000,"[0.459, 0.407, 0.59, 0.6665, 0.604]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,newbie-geek/new-dot-comp-v1,1391661,2,5,0.6767000000000001,2000,"[0.6685, 0.5965, 0.7075, 0.7255, 0.6855]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-2,1391661,2,5,0.051,2000,"[0.054, 0.0485, 0.0525, 0.0485, 0.0515]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,legionlm/orcamath-tinyllama-1.1B-v1-chat,1391661,2,5,0.384,2000,"[0.333, 0.341, 0.191, 0.5065, 0.5485]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,raidhon/coven_tiny_1.1b_32k_orpo_alpha,1391661,2,5,0.5147,2000,"[0.41, 0.4145, 0.594, 0.6185, 0.5365]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,zrowt/results,1391661,2,5,0.0574,2000,"[0.054, 0.0615, 0.0505, 0.064, 0.057]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Ahmedelmorshidy/influra_chatbot,1391661,2,5,0.5435,2000,"[0.5095, 0.346, 0.5695, 0.6515, 0.641]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,qbitmaze/ibrain_0002,1391661,2,5,0.4421,2000,"[0.437, 0.4905, 0.5875, 0.4755, 0.22]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,qbitmaze/ibrain_0003,1391661,2,5,0.4730999999999999,2000,"[0.5155, 0.5015, 0.34, 0.66, 0.3485]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo,1391661,2,5,0.9633,2000,"[0.9625, 0.9565, 0.9715, 0.971, 0.955]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-dpo-2,1391661,2,5,0.9623,2000,"[0.9565, 0.95, 0.973, 0.974, 0.958]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-coding-dpo-2,1391661,2,5,0.9521,2000,"[0.95, 0.95, 0.943, 0.9665, 0.951]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-logic-dpo-2,1391661,2,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NicholasCorrado/tinyllama-1.1b-chat-v1.0-rlced-conifer-3-1-dpo,1391661,2,5,0.9816,2000,"[0.983, 0.98, 0.9815, 0.985, 0.9785]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,quriousclick/new-dot-comp-v1,1391661,1,5,0.5806,2000,"[0.5545, 0.54, 0.503, 0.6935, 0.612]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,quriousclick/tinyllama-v1-training,1391661,1,5,0.5889,2000,"[0.5745, 0.445, 0.682, 0.638, 0.605]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/TinyLlama2-jp-122M-FlashAttention2,1391661,1,5,0.0084999999999999,2000,"[0.0055, 0.0025, 0.011, 0.0185, 0.005]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Bit-Llama2-jp-123M-test-1,1391661,1,5,0.0974,2000,"[0.107, 0.081, 0.095, 0.101, 0.103]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,h4rz3rk4s3/TinyPoliticaLlama-1.1B,1391661,1,5,0.4171,2000,"[0.4865, 0.303, 0.4205, 0.6035, 0.272]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/TinyLlama-1.1B_fictional_v2,1391661,1,5,0.3558,2000,"[0.344, 0.365, 0.3425, 0.4415, 0.286]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/TinyLlama-1.1B_fictional_v3,1391661,1,5,0.2823,2000,"[0.281, 0.2875, 0.2805, 0.3555, 0.207]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-3,1391661,1,5,0.0254,2000,"[0.042, 0.0015, 0.045, 0.031, 0.0075]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-4,1391661,1,5,0.0427,2000,"[0.035, 0.0535, 0.046, 0.033, 0.046]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-7,1391661,1,5,0.0512,2000,"[0.0525, 0.0505, 0.0555, 0.0455, 0.052]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-9,1391661,1,5,0.0084,2000,"[0.0145, 0.0035, 0.013, 0.003, 0.008]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,as-cle-bert/tiny-fungal-llama,1391661,1,5,0.4478,2000,"[0.399, 0.339, 0.5645, 0.5985, 0.338]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NeverLearn/TinyLlama-1.1B-Chat-v1.0-wikitext2,1391661,1,5,0.8234,2000,"[0.817, 0.7805, 0.823, 0.8645, 0.832]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ali77sina/tinyLlama-SEC-RAG-FT,1391661,1,5,0.1146,2000,"[0.0925, 0.085, 0.105, 0.128, 0.1625]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,anudaw/distilled-finetuned-code-llama,1391661,1,5,0.6013,2000,"[0.6125, 0.4725, 0.71, 0.59, 0.6215]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ainth89/your_output_dir,1391661,1,5,0.9958,2000,"[0.996, 0.993, 0.997, 0.9975, 0.9955]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ainth89/fake_planet_3,1391661,1,5,0.9751999999999998,2000,"[0.982, 0.963, 0.975, 0.982, 0.974]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ksjpswaroop/tinyllama-coder-v1,1391661,0,5,0.6073,2000,"[0.505, 0.431, 0.6415, 0.762, 0.697]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Nirajkanth/tinyllama-mental_health_counseling_conversations,1391661,0,5,0.7605999999999999,2000,"[0.7595, 0.723, 0.772, 0.7785, 0.77]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,BOT365/my-tinyllama-colorist-v1,1391661,0,5,0.6842,2000,"[0.653, 0.5455, 0.711, 0.786, 0.7255]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,09z/tinyllama-cleantech-lora,1391661,0,5,0.7573000000000001,2000,"[0.7415, 0.6975, 0.815, 0.7735, 0.759]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,09z/tinyllama-cleantech-lora-memo,1391661,0,5,0.741,2000,"[0.7255, 0.675, 0.775, 0.7535, 0.776]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,andykcheng/colorist-v2,1391661,0,5,0.7135999999999999,2000,"[0.7, 0.5625, 0.718, 0.826, 0.7615]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,SivaResearch/tinyllama-Siv-v2,1391661,0,5,0.4808,2000,"[0.39, 0.4415, 0.611, 0.554, 0.4075]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Dter/tinyllama-colorist-v1,1391661,0,5,0.6424000000000001,2000,"[0.6405, 0.5555, 0.6205, 0.7315, 0.664]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Thanasapon/tinyllama-colorist-v1,1391661,0,5,0.6416999999999999,2000,"[0.613, 0.5655, 0.6125, 0.7895, 0.628]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,newknp/tinyllama-colorist-v1,1391661,0,5,0.6748000000000001,2000,"[0.672, 0.5495, 0.67, 0.781, 0.7015]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Kitsana/tinyllama-colorist-v1,1391661,0,5,0.6708000000000001,2000,"[0.669, 0.561, 0.6485, 0.7685, 0.707]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,LuckyTemmie/tinyllama-colorist-v1,1391661,0,5,0.6942,2000,"[0.6895, 0.5525, 0.6975, 0.8, 0.7315]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Perasut/tinyllama-colorist-v1,1391661,0,5,0.6657,2000,"[0.6305, 0.5945, 0.6515, 0.7825, 0.6695]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Draon/tinyllama-colorist-v1,1391661,0,5,0.6464000000000001,2000,"[0.6435, 0.558, 0.5995, 0.7565, 0.6745]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,newbie-geek/tinyllama-v1-training-2.0,1391661,0,5,0.5562,2000,"[0.4625, 0.426, 0.579, 0.6925, 0.621]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,newbie-geek/new-dot-comp-v2,1391661,0,5,0.6671,2000,"[0.6275, 0.6475, 0.677, 0.7475, 0.636]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Arjun098/tinyllama-colorist-v1,1391661,0,5,0.9694,2000,"[0.971, 0.9505, 0.9745, 0.9825, 0.9685]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Arjun098/tinyllama-colorist-v2,1391661,0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,quriousclick/unsloth_suggestion-finetune,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-6,1391661,0,5,0.0125,2000,"[0.0015, 0.05, 0.002, 0.003, 0.006]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,kthg/tinyllama-colorist-lora,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,coinatur/tinyllama-colorist-v1,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,reeddg/tiny_sum_04-06-03-43-50,1391661,0,5,0.6708000000000001,2000,"[0.654, 0.5995, 0.6385, 0.7745, 0.6875]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,reeddg/tiny_sum_04-06-13-46-01,1391661,0,5,0.704,2000,"[0.6855, 0.682, 0.656, 0.793, 0.7035]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xshubhamx/tiny-llama-lora,1391661,0,5,0.8257,2000,"[0.8375, 0.756, 0.874, 0.8655, 0.7955]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xshubhamx/tiny-llama-lora-no-grad,1391661,0,5,0.6779,2000,"[0.5935, 0.626, 0.6925, 0.7845, 0.693]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ppopiolek/tinyllama_merged_test,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ppopiolek/tinyllama_merged_s_500,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xshubhamx/tiny-llama-lora-new,1391661,0,5,0.6908,2000,"[0.6265, 0.642, 0.775, 0.747, 0.6635]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,reeddg/tiny_sum_04-20-21-09-19,1391661,0,5,0.5610999999999999,2000,"[0.575, 0.4455, 0.556, 0.642, 0.587]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,unclecode/tinyllama-function-call-lora-adapter-250424,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ppopiolek/tinyllama_eng_short,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ppopiolek/tinyllama_eng_long_backup,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,qbitmaze/ibrain_000,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,qbitmaze/ibrain_0002q4,1391661,0,5,0.1598,2000,"[0.114, 0.1415, 0.2245, 0.186, 0.133]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,JessonWong/tiny_uncensored_new,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,sunny199/sft-tiny-chatbot,1391661,0,5,0.7503,2000,"[0.7595, 0.6425, 0.7785, 0.7645, 0.8065]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,headergen/HeaderLlama-tiny-single-label,1391661,0,5,0.6715,2000,"[0.684, 0.474, 0.737, 0.7445, 0.718]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,headergen/HeaderLlama-tiny-multi-label,1391661,0,5,0.6682,2000,"[0.5905, 0.533, 0.749, 0.7335, 0.735]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,gunzzz24/fine-tuned-tinyllama-1.1b-cv-analyser,1391661,0,5,0.4513,2000,"[0.415, 0.275, 0.4325, 0.6045, 0.5295]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trainhubai/uplimitproj1,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,pavel-tolstyko/pavel_tolstyko,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v1,1391661,0,5,0.064,2000,"[0.0605, 0.054, 0.072, 0.0765, 0.057]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,prodip1023/sft-tiny-chatbot,1391661,0,5,0.7372,2000,"[0.75, 0.6475, 0.7465, 0.7485, 0.7935]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v1-SpecialTokens,1391661,0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,AnushkaSrivastava/sft-tiny-chatbot,1391661,0,5,0.7476,2000,"[0.7595, 0.6265, 0.78, 0.7685, 0.8035]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,laurencassidy/lauren-tinyllama-1.1b-chat,1391661,0,5,0.9993,2000,"[0.999, 0.999, 0.9995, 0.9995, 0.9995]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v2-identacao,1391661,0,5,0.0627,2000,"[0.06, 0.0535, 0.068, 0.0745, 0.0575]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-text2SQL-alias-indentacao-ourschema,1391661,0,5,0.0671,2000,"[0.062, 0.0565, 0.077, 0.0765, 0.0635]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-text2SQL-schemaReduzido,1391661,0,5,0.0626,2000,"[0.064, 0.0545, 0.0725, 0.0745, 0.0475]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-text2SQL-schemaReduzidoTabelas,1391661,0,5,0.0713999999999999,2000,"[0.0695, 0.06, 0.082, 0.0805, 0.065]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,premrajreddy/Home-TinyLlama-1.1B-HomeAssist-GGUF,1391661,88,5,0.7796000000000001,2000,"[0.78, 0.6965, 0.755, 0.8645, 0.802]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,premrajreddy/tinyllama-1.1b-home-llm,1391661,80,5,0.7796000000000001,2000,"[0.78, 0.6965, 0.755, 0.8645, 0.802]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,pyon0024/tinyllama-katakana-converter,1391661,41,5,0.7832000000000001,2000,"[0.764, 0.676, 0.8125, 0.8535, 0.81]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lxcorp/lambda-1v-1B,1391661,39,5,0.7736,2000,"[0.71, 0.6415, 0.8195, 0.863, 0.834]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Niansuh/TinyLlama-1.1B-Chat-v1.0,1391661,36,5,0.5751999999999999,2000,"[0.558, 0.433, 0.6135, 0.605, 0.6665]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,igidn/TinyPi-chat-V1,1391661,28,5,0.635,2000,"[0.5945, 0.603, 0.627, 0.6555, 0.695]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,marcellobullo/tinyllama-sft-hh,1391661,23,5,0.8595,2000,"[0.854, 0.7865, 0.89, 0.898, 0.869]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,igidn/TinyPi-Chat-v1.5,1391661,21,5,0.6458,2000,"[0.5915, 0.6275, 0.6405, 0.6625, 0.707]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,kishorsriraman/finetuned_model,1391661,21,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Caspiannnn/Lora_test,1391661,14,5,0.6404,2000,"[0.6825, 0.565, 0.663, 0.758, 0.5335]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xinyuan3/model_name,1391661,13,5,0.6233,2000,"[0.563, 0.5725, 0.6355, 0.778, 0.5675]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Akash-nath29/tinyllamashakespeare,1391661,11,5,0.4402,2000,"[0.372, 0.309, 0.4525, 0.5085, 0.559]"
